"","X","workerid","property","trial_type","rt","trial_num","response","sentence","targetMention","item","type","Property"
"1",1,0,"carries malaria","free_production",7219,1,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"2",1,0,"carries malaria","free_production",7219,1,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"3",2,0,"eats people","free_production",5291,2,"shark","shark eats people",0,"shark eats people",NA,"eat people"
"4",3,0,"is juvenile","free_production",5026,3,"tiger","tiger is juvenile",0,"tiger is juvenile",NA,"are juvenile"
"5",4,0,"has a mane","free_production",4163,4,"horse","horse has a mane",0,"horse has a mane",NA,"have manes"
"6",4,0,"has a mane","free_production",4163,4,"horse","horse has a mane",0,"horse has a mane",NA,"have manes"
"7",5,0,"is full-grown","free_production",5666,5,"bear","bear is full-grown",0,"bear is full-grown",NA,"are full-grown"
"8",6,0,"doesnt carry Lyme disease","free_production",6871,6,"prayingmanti","prayingmanti doesn't carry Lyme disease",0,"prayingmanti doesn't carry Lyme disease",NA,"dont carry Lyme disease"
"9",7,0,"is white","free_production",3773,7,"dove","dove is white",0,"dove is white",NA,"are white"
"10",7,0,"is white","free_production",3773,7,"dove","dove is white",0,"dove is white",NA,"are white"
"11",8,0,"doesnt eat people","free_production",3326,8,"cat","cat doesn't eat people",0,"cat doesn't eat people",NA,"dont eat people"
"12",9,0,"is male","free_production",4376,9,"dog","dog is male",0,"dog is male",NA,"are male"
"13",10,0,"doesnt attack swimmers","free_production",8200,10,"pelican","pelican doesn't attack swimmers",0,"pelican doesn't attack swimmers",NA,"dont attack swimmers"
"14",11,0,"is red","free_production",5688,11,"cardinal","cardinal is red",1,"cardinal is red",NA,"are red"
"15",12,0,"lays eggs","free_production",5720,12,"turtle","turtle lays eggs",0,"turtle lays eggs",NA,"lay eggs"
"16",12,0,"lays eggs","free_production",5720,12,"turtle","turtle lays eggs",0,"turtle lays eggs",NA,"lay eggs"
"17",12,0,"lays eggs","free_production",5720,12,"turtle","turtle lays eggs",0,"turtle lays eggs",NA,"lay eggs"
"18",13,0,"carries Lyme disease","free_production",2807,13,"tick","tick carries Lyme disease",1,"tick carries Lyme disease","diagnostic","carry Lyme disease"
"19",14,0,"has wings","free_production",4611,14,"bat","bat has wings",0,"bat has wings",NA,"have wings"
"20",14,0,"has wings","free_production",4611,14,"bat","bat has wings",0,"bat has wings",NA,"have wings"
"21",15,0,"has spots","free_production",10615,15,"ladybug","ladybug has spots",0,"ladybug has spots",NA,"have spots"
"22",15,0,"has spots","free_production",10615,15,"ladybug","ladybug has spots",0,"ladybug has spots",NA,"have spots"
"23",16,0,"is female","free_production",15334,16,"mare","mare is female",0,"mare is female",NA,"are female"
"24",17,0,"doesnt carry malaria","free_production",3034,17,"fly","fly doesn't carry malaria",0,"fly doesn't carry malaria",NA,"dont carry malaria"
"25",18,0,"attacks swimmers","free_production",3997,18,"eel","eel attacks swimmers",0,"eel attacks swimmers",NA,"attack swimmers"
"26",18,0,"attacks swimmers","free_production",3997,18,"eel","eel attacks swimmers",0,"eel attacks swimmers",NA,"attack swimmers"
"27",19,0,"doesnt have beautiful feathers","free_production",3665,19,"pig","pig doesn't have beautiful feathers",0,"pig doesn't have beautiful feathers",NA,"dont have beautiful feathers"
"28",20,0,"has a pouch","free_production",3734,20,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"29",20,0,"has a pouch","free_production",3734,20,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"30",21,0,"has beautiful feathers","free_production",4477,21,"peacock","peacock has beautiful feathers",1,"peacock has beautiful feathers",NA,"have beautiful feathers"
"31",22,1,"doesnt eat people","free_production",14828,1,"ant","ant doesn't eat people",0,"ant doesn't eat people",NA,"dont eat people"
"32",23,1,"is female","free_production",21819,2,"cat","cat is female",0,"cat is female",NA,"are female"
"33",24,1,"has a mane","free_production",23348,3,"lion","lion has a mane",1,"lion has a mane","diagnostic","have manes"
"34",24,1,"has a mane","free_production",23348,3,"lion","lion has a mane",1,"lion has a mane","diagnostic","have manes"
"35",25,1,"carries Lyme disease","free_production",8546,4,"mosquito","mosquito carries Lyme disease",0,"mosquito carries Lyme disease",NA,"carry Lyme disease"
"36",26,1,"is red","free_production",10507,5,"redant","redant is red",0,"redant is red",NA,"are red"
"37",27,1,"doesnt carry Lyme disease","free_production",4983,6,"fly","fly doesn't carry Lyme disease",0,"fly doesn't carry Lyme disease",NA,"dont carry Lyme disease"
"38",28,1,"has spots","free_production",14554,7,"beetle","beetle has spots",0,"beetle has spots",NA,"have spots"
"39",28,1,"has spots","free_production",14554,7,"beetle","beetle has spots",0,"beetle has spots",NA,"have spots"
"40",29,1,"has a pouch","free_production",4468,8,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"41",29,1,"has a pouch","free_production",4468,8,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"42",30,1,"doesnt have beautiful feathers","free_production",7836,9,"lizard","lizard doesn't have beautiful feathers",0,"lizard doesn't have beautiful feathers",NA,"dont have beautiful feathers"
"43",31,1,"has beautiful feathers","free_production",3468,10,"bird","bird has beautiful feathers",0,"bird has beautiful feathers",NA,"have beautiful feathers"
"44",32,1,"doesnt attack swimmers","free_production",43645,11,"dog","dog doesn't attack swimmers",0,"dog doesn't attack swimmers",NA,"dont attack swimmers"
"45",33,1,"doesnt carry malaria","free_production",7258,12,"dog","dog doesn't carry malaria",0,"dog doesn't carry malaria",NA,"dont carry malaria"
"46",34,1,"eats people","free_production",8177,13,"crocodile","crocodile eats people",0,"crocodile eats people",NA,"eat people"
"47",35,1,"is full-grown","free_production",5056,14,"dog","dog is full-grown",0,"dog is full-grown",NA,"are full-grown"
"48",36,1,"lays eggs","free_production",4836,15,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"49",36,1,"lays eggs","free_production",4836,15,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"50",36,1,"lays eggs","free_production",4836,15,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"51",37,1,"has wings","free_production",2990,16,"bird","bird has wings",0,"bird has wings",NA,"have wings"
"52",37,1,"has wings","free_production",2990,16,"bird","bird has wings",0,"bird has wings",NA,"have wings"
"53",38,1,"attacks swimmers","free_production",3656,17,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"54",38,1,"attacks swimmers","free_production",3656,17,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"55",39,1,"carries malaria","free_production",8905,18,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"56",39,1,"carries malaria","free_production",8905,18,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"57",40,1,"is male","free_production",3774,19,"dog","dog is male",0,"dog is male",NA,"are male"
"58",41,1,"is juvenile","free_production",9709,20,"puppy","puppy is juvenile",0,"puppy is juvenile",NA,"are juvenile"
"59",42,1,"is white","free_production",4156,21,"cow","cow is white",0,"cow is white",NA,"are white"
"60",42,1,"is white","free_production",4156,21,"cow","cow is white",0,"cow is white",NA,"are white"
"61",43,2,"has a pouch","free_production",5495,1,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"62",43,2,"has a pouch","free_production",5495,1,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"63",44,2,"doesnt attack swimmers","free_production",12388,2,"clownfish","clownfish doesn't attack swimmers",0,"clownfish doesn't attack swimmers",NA,"dont attack swimmers"
"64",45,2,"attacks swimmers","free_production",4632,3,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"65",45,2,"attacks swimmers","free_production",4632,3,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"66",46,2,"eats people","free_production",12825,4,"lion","lion eats people",0,"lion eats people",NA,"eat people"
"67",47,2,"doesnt have beautiful feathers","free_production",7279,5,"pigeon","pigeon doesn't have beautiful feathers",0,"pigeon doesn't have beautiful feathers",NA,"dont have beautiful feathers"
"68",48,2,"has beautiful feathers","free_production",6711,6,"peacock","peacock has beautiful feathers",1,"peacock has beautiful feathers",NA,"have beautiful feathers"
"69",49,2,"has a mane","free_production",5857,7,"lion","lion has a mane",1,"lion has a mane","diagnostic","have manes"
"70",49,2,"has a mane","free_production",5857,7,"lion","lion has a mane",1,"lion has a mane","diagnostic","have manes"
"71",50,2,"carries Lyme disease","free_production",2908,8,"tick","tick carries Lyme disease",1,"tick carries Lyme disease","diagnostic","carry Lyme disease"
"72",51,2,"carries malaria","free_production",7983,9,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"73",51,2,"carries malaria","free_production",7983,9,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"74",52,2,"is full-grown","free_production",7821,10,"elephant","elephant is full-grown",0,"elephant is full-grown",NA,"are full-grown"
"75",53,2,"doesnt eat people","free_production",7755,11,"cat","cat doesn't eat people",0,"cat doesn't eat people",NA,"dont eat people"
"76",54,2,"is female","free_production",22538,12,"chicken","chicken is female",0,"chicken is female",NA,"are female"
"77",55,2,"has wings","free_production",7149,13,"hummingbird","hummingbird has wings",0,"hummingbird has wings",NA,"have wings"
"78",55,2,"has wings","free_production",7149,13,"hummingbird","hummingbird has wings",0,"hummingbird has wings",NA,"have wings"
"79",56,2,"doesnt carry malaria","free_production",4280,14,"dog","dog doesn't carry malaria",0,"dog doesn't carry malaria",NA,"dont carry malaria"
"80",57,2,"doesnt carry Lyme disease","free_production",7223,15,"cat","cat doesn't carry Lyme disease",0,"cat doesn't carry Lyme disease",NA,"dont carry Lyme disease"
"81",58,2,"is red","free_production",24154,16,"bird","bird is red",0,"bird is red",NA,"are red"
"82",59,2,"has spots","free_production",10033,17,"leopard","leopard has spots",1,"leopard has spots",NA,"have spots"
"83",59,2,"has spots","free_production",10033,17,"leopard","leopard has spots",1,"leopard has spots",NA,"have spots"
"84",60,2,"is male","free_production",4241,18,"rooster","rooster is male",0,"rooster is male",NA,"are male"
"85",61,2,"lays eggs","free_production",5985,19,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
